asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0G52TXK2W,"""None""","""2026-05-25""",0,0,0,2,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0G52TXK2W,"""None""","""2026-05-30""",0,0,0,1,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0G52TXK2W,"""None""","""2026-05-31""",0,0,0,1,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0GC5Y5L93,"""None""","""2026-05-17""",0,0,0,0,0,0,,,0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GC5Y5L93,"""None""","""2026-05-20""",0,0,0,2,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GC5Y5L93,"""None""","""2026-05-21""",0,0,0,19,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GC5Y5L93,"""None""","""2026-05-22""",0,0,0,67,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GC5Y5L93,"""None""","""2026-05-23""",0,0,0,165,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GC5Y5L93,"""None""","""2026-05-24""",0,0,0,69,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GC5Y5L93,"""None""","""2026-05-25""",0,0,0,585,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GC5Y5L93,"""None""","""2026-05-26""",0,0,0,187,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GC5Y5L93,"""None""","""2026-05-27""",0,0,0,58,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GC5Y5L93,"""None""","""2026-05-28""",0,0,0,12,0,0,,,0.0,0,0,0,0,,,,,0,,0,0,0,0,,,,0,,0,0
B0GC5Y5L93,"""None""","""2026-05-30""",0,0,0,3,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0GC5Y5L93,"""None""","""2026-05-31""",0,0,0,6,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
B0G3XNN6ZV,"""None""","""2026-05-22""",0,0,0,2,0,0,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,
